op,element_type,analysis,n,sparsity,time_ns
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17865e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.47782e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.45424e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.45258e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.4401e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.44734e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.45435e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.44736e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.44676e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.44304e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.44639e+06
SUM,int64_t,"AnalysisFlag::min",4096,1,1.76028e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75568e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75534e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75511e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75469e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75583e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75489e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75464e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75412e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75448e+07
MEAN,double,"AnalysisFlag::min",1024,0.001,8712
MEAN,double,"AnalysisFlag::min",1024,0.001,6021
MEAN,double,"AnalysisFlag::min",1024,0.001,6631
MEAN,double,"AnalysisFlag::min",1024,0.001,6558
MEAN,double,"AnalysisFlag::min",1024,0.001,6563
MEAN,double,"AnalysisFlag::min",1024,0.001,6593
MEAN,double,"AnalysisFlag::min",1024,0.001,6451
MEAN,double,"AnalysisFlag::min",1024,0.001,5729
MEAN,double,"AnalysisFlag::min",1024,0.001,5793
MEAN,double,"AnalysisFlag::min",1024,0.001,6763
MEAN,double,"AnalysisFlag::min",2048,0.001,16642
MEAN,double,"AnalysisFlag::min",2048,0.001,17736
MEAN,double,"AnalysisFlag::min",2048,0.001,16738
MEAN,double,"AnalysisFlag::min",2048,0.001,18344
MEAN,double,"AnalysisFlag::min",2048,0.001,17194
MEAN,double,"AnalysisFlag::min",2048,0.001,16296
MEAN,double,"AnalysisFlag::min",2048,0.001,16129
MEAN,double,"AnalysisFlag::min",2048,0.001,16122
MEAN,double,"AnalysisFlag::min",2048,0.001,16066
