mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,idxMin,double,,4096,0.25,7,21438248,True
naive,idxMin,double,,4096,0.25,7,21264352,True
vectorized,idxMin,double,,4096,0.25,8,21452726,True
naive,idxMin,double,,4096,0.25,8,24959685,True
vectorized,idxMin,double,,4096,0.25,9,21452434,True
naive,idxMin,double,,4096,0.25,9,21504156,True
vectorized,idxMin,double,,4096,1.0,0,21467920,True
naive,idxMin,double,,4096,1.0,0,21651206,True
vectorized,idxMin,double,,4096,1.0,1,21466180,True
naive,idxMin,double,,4096,1.0,1,21483447,True
vectorized,idxMin,double,,4096,1.0,2,21262232,True
naive,idxMin,double,,4096,1.0,2,21589598,True
vectorized,idxMin,double,,4096,1.0,3,21609409,True
naive,idxMin,double,,4096,1.0,3,21387644,True
vectorized,idxMin,double,,4096,1.0,4,21456952,True
naive,idxMin,double,,4096,1.0,4,21137129,True
vectorized,idxMin,double,,4096,1.0,5,24788392,True
naive,idxMin,double,,4096,1.0,5,21482960,True
vectorized,idxMin,double,,4096,1.0,6,21643504,True
naive,idxMin,double,,4096,1.0,6,21041426,True
vectorized,idxMin,double,,4096,1.0,7,21409796,True
naive,idxMin,double,,4096,1.0,7,25157400,True
vectorized,idxMin,double,,4096,1.0,8,21370418,True
naive,idxMin,double,,4096,1.0,8,21477027,True
vectorized,idxMin,double,,4096,1.0,9,21371252,True
naive,idxMin,double,,4096,1.0,9,21222745,True
vectorized,idxMin,double,,1024,0.001,0,1538726,False
naive,idxMin,double,,1024,0.001,0,1513377,False
vectorized,idxMin,double,,1024,0.001,1,1520514,False
naive,idxMin,double,,1024,0.001,1,1505754,False
vectorized,idxMin,double,,1024,0.001,2,1526252,False
naive,idxMin,double,,1024,0.001,2,1509682,False
vectorized,idxMin,double,,1024,0.001,3,1062556,False
naive,idxMin,double,,1024,0.001,3,1503777,False
vectorized,idxMin,double,,1024,0.001,4,1067972,False
naive,idxMin,double,,1024,0.001,4,1510822,False
vectorized,idxMin,double,,1024,0.001,5,1518923,False
naive,idxMin,double,,1024,0.001,5,1513528,False
vectorized,idxMin,double,,1024,0.001,6,1525344,False
naive,idxMin,double,,1024,0.001,6,1518995,False
vectorized,idxMin,double,,1024,0.001,7,1532622,False
naive,idxMin,double,,1024,0.001,7,1508198,False
vectorized,idxMin,double,,1024,0.001,8,1515423,False
naive,idxMin,double,,1024,0.001,8,1520044,False
vectorized,idxMin,double,,1024,0.001,9,1521893,False
naive,idxMin,double,,1024,0.001,9,1515578,False
vectorized,idxMin,double,,1024,0.01,0,1521288,False
naive,idxMin,double,,1024,0.01,0,1506748,False
vectorized,idxMin,double,,1024,0.01,1,1515131,False
naive,idxMin,double,,1024,0.01,1,1522071,False
vectorized,idxMin,double,,1024,0.01,2,1519591,False
naive,idxMin,double,,1024,0.01,2,1515336,False
vectorized,idxMin,double,,1024,0.01,3,1519506,False
naive,idxMin,double,,1024,0.01,3,1519780,False
vectorized,idxMin,double,,1024,0.01,4,1058374,False
naive,idxMin,double,,1024,0.01,4,1538134,False
vectorized,idxMin,double,,1024,0.01,5,1507967,False
naive,idxMin,double,,1024,0.01,5,1516677,False
vectorized,idxMin,double,,1024,0.01,6,1520117,False
naive,idxMin,double,,1024,0.01,6,1509746,False
vectorized,idxMin,double,,1024,0.01,7,1508260,False
naive,idxMin,double,,1024,0.01,7,1514234,False
vectorized,idxMin,double,,1024,0.01,8,1524686,False
naive,idxMin,double,,1024,0.01,8,1520625,False
vectorized,idxMin,double,,1024,0.01,9,1518732,False
naive,idxMin,double,,1024,0.01,9,1054047,False
vectorized,idxMin,double,,1024,0.05,0,1517651,False
naive,idxMin,double,,1024,0.05,0,1520311,False
vectorized,idxMin,double,,1024,0.05,1,1515077,False
naive,idxMin,double,,1024,0.05,1,1502993,False
vectorized,idxMin,double,,1024,0.05,2,1506227,False
naive,idxMin,double,,1024,0.05,2,1504538,False
vectorized,idxMin,double,,1024,0.05,3,1515694,False
naive,idxMin,double,,1024,0.05,3,1507092,False
vectorized,idxMin,double,,1024,0.05,4,1522390,False
naive,idxMin,double,,1024,0.05,4,1520730,False
vectorized,idxMin,double,,1024,0.05,5,1536049,False
naive,idxMin,double,,1024,0.05,5,1510203,False
vectorized,idxMin,double,,1024,0.05,6,1513254,False
naive,idxMin,double,,1024,0.05,6,1510618,False
vectorized,idxMin,double,,1024,0.05,7,1496155,False
naive,idxMin,double,,1024,0.05,7,1509567,False
vectorized,idxMin,double,,1024,0.05,8,1527238,False
naive,idxMin,double,,1024,0.05,8,1505536,False
vectorized,idxMin,double,,1024,0.05,9,1515122,False
naive,idxMin,double,,1024,0.05,9,1508430,False
vectorized,idxMin,double,,1024,0.1,0,1520425,False
naive,idxMin,double,,1024,0.1,0,1495370,False
vectorized,idxMin,double,,1024,0.1,1,1507625,False
naive,idxMin,double,,1024,0.1,1,1505125,False
vectorized,idxMin,double,,1024,0.1,2,1493157,False
naive,idxMin,double,,1024,0.1,2,1498031,False
vectorized,idxMin,double,,1024,0.1,3,1518808,False
naive,idxMin,double,,1024,0.1,3,1524512,False
vectorized,idxMin,double,,1024,0.1,4,1514377,False
naive,idxMin,double,,1024,0.1,4,1523598,False
vectorized,idxMin,double,,1024,0.1,5,1516836,False
naive,idxMin,double,,1024,0.1,5,1497528,False
