mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
naive,idxMin,double,,1024,0.001,7,1058794,False
vectorized,idxMin,double,,1024,0.001,8,1078850,False
naive,idxMin,double,,1024,0.001,8,1071974,False
vectorized,idxMin,double,,1024,0.001,9,1062797,False
naive,idxMin,double,,1024,0.001,9,1064688,False
vectorized,idxMin,double,,1024,0.01,0,1094497,False
naive,idxMin,double,,1024,0.01,0,1104153,False
vectorized,idxMin,double,,1024,0.01,1,1088029,False
naive,idxMin,double,,1024,0.01,1,1109296,False
vectorized,idxMin,double,,1024,0.01,2,1100333,False
naive,idxMin,double,,1024,0.01,2,1099188,False
vectorized,idxMin,double,,1024,0.01,3,1107071,False
naive,idxMin,double,,1024,0.01,3,1085344,False
vectorized,idxMin,double,,1024,0.01,4,1098583,False
naive,idxMin,double,,1024,0.01,4,1136405,False
vectorized,idxMin,double,,1024,0.01,5,1118757,False
naive,idxMin,double,,1024,0.01,5,1093299,False
vectorized,idxMin,double,,1024,0.01,6,1099753,False
naive,idxMin,double,,1024,0.01,6,992202,False
vectorized,idxMin,double,,1024,0.01,7,1088923,False
naive,idxMin,double,,1024,0.01,7,1114522,False
vectorized,idxMin,double,,1024,0.01,8,1087864,False
naive,idxMin,double,,1024,0.01,8,1121367,False
vectorized,idxMin,double,,1024,0.01,9,1107480,False
naive,idxMin,double,,1024,0.01,9,1097508,False
vectorized,idxMin,double,,1024,0.05,0,1103386,False
naive,idxMin,double,,1024,0.05,0,1111945,False
vectorized,idxMin,double,,1024,0.05,1,1100522,False
naive,idxMin,double,,1024,0.05,1,1098112,False
vectorized,idxMin,double,,1024,0.05,2,1109717,False
naive,idxMin,double,,1024,0.05,2,1115711,False
vectorized,idxMin,double,,1024,0.05,3,1100607,False
naive,idxMin,double,,1024,0.05,3,1104786,False
vectorized,idxMin,double,,1024,0.05,4,1102210,False
naive,idxMin,double,,1024,0.05,4,1117090,False
vectorized,idxMin,double,,1024,0.05,5,1096836,False
naive,idxMin,double,,1024,0.05,5,1115617,False
vectorized,idxMin,double,,1024,0.05,6,1115839,False
naive,idxMin,double,,1024,0.05,6,1105607,False
vectorized,idxMin,double,,1024,0.05,7,1131316,False
naive,idxMin,double,,1024,0.05,7,1093913,False
vectorized,idxMin,double,,1024,0.05,8,1141187,False
naive,idxMin,double,,1024,0.05,8,1141642,False
vectorized,idxMin,double,,1024,0.05,9,1115543,False
naive,idxMin,double,,1024,0.05,9,1119916,False
vectorized,idxMin,double,,1024,0.1,0,1105626,False
naive,idxMin,double,,1024,0.1,0,1100105,False
vectorized,idxMin,double,,1024,0.1,1,1118562,False
naive,idxMin,double,,1024,0.1,1,1095570,False
vectorized,idxMin,double,,1024,0.1,2,1116674,False
naive,idxMin,double,,1024,0.1,2,1151214,False
vectorized,idxMin,double,,1024,0.1,3,1107567,False
naive,idxMin,double,,1024,0.1,3,1106624,False
vectorized,idxMin,double,,1024,0.1,4,1091795,False
naive,idxMin,double,,1024,0.1,4,1136032,False
vectorized,idxMin,double,,1024,0.1,5,1107767,False
naive,idxMin,double,,1024,0.1,5,1123929,False
vectorized,idxMin,double,,1024,0.1,6,1095230,False
naive,idxMin,double,,1024,0.1,6,1118170,False
vectorized,idxMin,double,,1024,0.1,7,1095586,False
naive,idxMin,double,,1024,0.1,7,1105517,False
vectorized,idxMin,double,,1024,0.1,8,1125759,False
naive,idxMin,double,,1024,0.1,8,1149383,False
vectorized,idxMin,double,,1024,0.1,9,1094871,False
naive,idxMin,double,,1024,0.1,9,1107983,False
vectorized,idxMin,double,,1024,0.2,0,1084910,False
naive,idxMin,double,,1024,0.2,0,1078848,False
vectorized,idxMin,double,,1024,0.2,1,1086616,False
naive,idxMin,double,,1024,0.2,1,1088182,False
vectorized,idxMin,double,,1024,0.2,2,1094753,False
naive,idxMin,double,,1024,0.2,2,1074950,False
vectorized,idxMin,double,,1024,0.2,3,1097264,False
naive,idxMin,double,,1024,0.2,3,1081156,False
