op,element_type,analysis,n,sparsity,mean_ns,std_ns
MEAN,int64_t,numDistinct,1024,0.25,1190627.0,7837.387674190672
MEAN,int64_t,numDistinct,1024,1.0,1193130.0,18033.285274119567
MEAN,int64_t,numDistinct,2048,0.001,24966.6,1413.255752587699
MEAN,int64_t,numDistinct,2048,0.01,41284.0,409.9932248762705
MEAN,int64_t,numDistinct,2048,0.05,65954.5,1654.0194308948646
MEAN,int64_t,numDistinct,2048,0.1,102467.6,9049.315532127279
MEAN,int64_t,numDistinct,2048,0.2,203684.7,43472.13876099904
MEAN,int64_t,numDistinct,2048,0.25,4476042.0,5902.424737154831
MEAN,int64_t,numDistinct,2048,1.0,4491819.0,7546.659967606052
MEAN,int64_t,numDistinct,4096,0.001,61825.2,656.9056756237275
MEAN,int64_t,numDistinct,4096,0.01,96792.2,1325.223402550175
MEAN,int64_t,numDistinct,4096,0.05,205327.7,4540.3860836815265
MEAN,int64_t,numDistinct,4096,0.1,586963.1,18877.70932696373
MEAN,int64_t,numDistinct,4096,0.2,1391185.0,26691.596367895763
MEAN,int64_t,numDistinct,4096,0.25,17620310.0,18047.31128020041
MEAN,int64_t,numDistinct,4096,1.0,17652620.0,34797.88627041706
MEAN,int64_t,numDistinctApprox,1024,0.001,24594.4,1399.7945246039187
MEAN,int64_t,numDistinctApprox,1024,0.01,34973.5,1310.9854859777993
MEAN,int64_t,numDistinctApprox,1024,0.05,45806.4,4120.5939485575245
MEAN,int64_t,numDistinctApprox,1024,0.1,54540.2,2005.1301315486844
MEAN,int64_t,numDistinctApprox,1024,0.2,71866.9,6277.348492795345
MEAN,int64_t,numDistinctApprox,1024,0.25,1206102.0,5077.035005241204
MEAN,int64_t,numDistinctApprox,1024,1.0,1218901.0,17776.72163876743
